format=v2.tables.scan.v1  Qwen3-1.7B, every table read word by word (bf16: sign bit 15, exponent bits 14..7, mantissa bits 6..0)
[B] 'any 0' read as: any value that reads 0.… ; ×(2×5) = times the whole table is multiplied until none does
table                                            shape          values       zeros   smallest        ×(2×5)  largest
model.layers.19.input_layernorm.weight           2048           2048         0       135/2^23        5       140/2^1
model.layers.19.mlp.down_proj.weight             2048x6144      12582912     0       133/2^34        9       178/2^8
model.layers.19.mlp.gate_proj.weight             6144x2048      12582912     0       233/2^38        10      169/2^8
model.layers.19.mlp.up_proj.weight               6144x2048      12582912     0       205/2^35        9       230/2^8
model.layers.19.post_attention_layernorm.weight  2048           2048         0       210/2^23        5       243/2^6
model.layers.19.self_attn.k_norm.weight          128            128          0       172/2^16        3       237/2^5
model.layers.19.self_attn.k_proj.weight          1024x2048      2097152      0       144/2^35        9       130/2^8
model.layers.19.self_attn.o_proj.weight          2048x2048      4194304      0       145/2^35        9       214/2^9
model.layers.19.self_attn.q_norm.weight          128            128          0       161/2^14        3       249/2^6
model.layers.19.self_attn.q_proj.weight          2048x2048      4194304      0       189/2^32        8       146/2^8
model.layers.19.self_attn.v_proj.weight          1024x2048      2097152      0       187/2^31        8       196/2^9
model.layers.20.input_layernorm.weight           2048           2048         0       173/2^22        5       234/2^3
model.layers.20.mlp.down_proj.weight             2048x6144      12582912     0       254/2^42        11      205/2^8
model.layers.20.mlp.gate_proj.weight             6144x2048      12582912     0       255/2^36        9       160/2^8
model.layers.20.mlp.up_proj.weight               6144x2048      12582912     0       162/2^33        8       171/2^8
model.layers.20.post_attention_layernorm.weight  2048           2048         0       133/2^22        5       142/2^5
model.layers.20.self_attn.k_norm.weight          128            128          0       139/2^23        5       132/2^4
model.layers.20.self_attn.k_proj.weight          1024x2048      2097152      0       213/2^35        9       188/2^9
model.layers.20.self_attn.o_proj.weight          2048x2048      4194304      0       235/2^34        8       169/2^8
model.layers.20.self_attn.q_norm.weight          128            128          0       140/2^16        3       141/2^5
model.layers.20.self_attn.q_proj.weight          2048x2048      4194304      0       166/2^36        9       141/2^8
model.layers.20.self_attn.v_proj.weight          1024x2048      2097152      0       140/2^38        10      181/2^9
model.layers.21.input_layernorm.weight           2048           2048         0       192/2^22        5       177/2^2
model.layers.21.mlp.down_proj.weight             2048x6144      12582912     0       149/2^35        9       211/2^8
model.layers.21.mlp.gate_proj.weight             6144x2048      12582912     0       144/2^35        9       157/2^8
model.layers.21.mlp.up_proj.weight               6144x2048      12582912     0       250/2^36        9       208/2^8
model.layers.21.post_attention_layernorm.weight  2048           2048         0       214/2^22        5       142/2^5
model.layers.21.self_attn.k_norm.weight          128            128          0       128/2^19        4       150/2^4
model.layers.21.self_attn.k_proj.weight          1024x2048      2097152      0       175/2^34        8       219/2^8
model.layers.21.self_attn.o_proj.weight          2048x2048      4194304      0       242/2^36        9       165/2^9
model.layers.21.self_attn.q_norm.weight          128            128          0       164/2^18        4       175/2^6
model.layers.21.self_attn.q_proj.weight          2048x2048      4194304      0       191/2^36        9       235/2^9
